id,"ident","title","image","excerpt","description",is_featured,"starts_at","ends_at","publish_at","expires_at",sort,"created_at","updated_at"
20,"Divorce-Care","Divorce Care",NULL,"New Divorce Care Group starting Monday, March 5, 2012...","New Divorce Care Group starting Monday, March 5, 2012.

<p>Join us at Celebrate on Monday nights at 6:30pm for this new Celebrate Growth Group. More information <a href=\"http://blog.faithpromise.org/2012/02/new-celebrate-growth-group-on-monday-nights-630pm-at-the-pellissippi-campus-5/\" target=\"_blank\">here</a>.</p>",1,NULL,NULL,"2011-02-17 00:00:00","2012-03-06 00:00:00",4,"2015-07-07 12:02:40","2015-07-07 12:02:40"
21,"Band-Auditions","Band Auditions",NULL,"Want to rock out with the worhsip team?","November 1st from 6:30-8:00 pm. Email <a href=\"mailto:RobA@faithpromise.org\">RobA@faithpromise.org</a> for details.",1,NULL,NULL,"2009-02-11 00:00:00","2012-10-14 00:00:00",5,"2015-07-07 12:02:40","2015-07-07 12:02:40"
22,"Help-Feed-Families-in-Need","Help Feed Families in Need",NULL,"Our food pantry needs your help to feed over 200 needy families...","Our food pantry needs your help to feed over 200 needy families this Thanksgiving and Christmas season. A complete list of requested food items is available at the food collection bins in the Lobby. For more information or to volunteer your time, please email pantryofpromise@gmail.com.",1,NULL,NULL,"2009-02-11 00:00:00","2010-12-15 00:00:00",4,"2015-07-07 12:02:40","2015-07-07 12:02:40"
23,"Job-Connect","Job Connect",NULL,"Looking for a job?  Have a job to fill?","If you have a job to post, or if you're a member or regular attender of Faith Promise that's looking for a job, we have a <a href=\"http://jobs.faithpromise.org\">website</a> with current job postings.  Call the church office at 251-2590 between 8:00 am and 5:00 pm for a password.",1,NULL,NULL,"2009-02-19 00:00:00","2010-06-19 00:00:00",6,"2015-07-07 12:02:40","2015-07-07 12:02:40"
24,"Mission-Trips","Mission Trips",NULL,"Interested in going on a mission trip to Thailand or South Africa?  Click here for more information.","<p><strong>Cape Town, South Africa—June 5-14, 2009</strong><br />
You are invited to attend one of the following informational meetings: Saturday, February 21 at 6:45 pm or Sunday, February 22 at11:15 am in the preschool modular. Contact Mia Hannahs at 251-2590 ext. 1200 or mia@faithpromise.org for more information.</p>

<p><strong>Thailand—July 2-10, 2009</strong><br />
If you are interested, please attend one of the informational meetings on Saturday, February 28 at 6:45 or 8:15 pm or Sunday, March 1 at 9:45 am, 11:15 am or 1:00 pm in Room 224. For more information please contact marti@faithpromise.org.</p>",1,NULL,NULL,"2009-02-19 00:00:00","2009-03-01 00:00:00",5,"2015-07-07 12:02:40","2013-06-06 21:53:11"
25,"Singles-Again","Singles Again",NULL,NULL,"The Singles Again Ministry invites you to a Meet and Greet celebration being held in Satellite-1 on Friday, February 27th from
6:30 – 9:00 pm. There will be a traditional Cajun feast, worship and a time for sharing. Childcare provided upon request. Please
contact Janine Duvall via e-mail at janine.duvall@gmail.com.",0,NULL,NULL,"2009-02-19 00:00:00","2009-02-28 00:00:00",6,"2015-07-07 12:02:40","2013-06-06 21:53:11"
27,"Spring-Forward","Spring Forward",NULL,"Remember to set your clocks ahead one hour Saturday night, March 13","Remember to set your clocks ahead one hour Saturday night, March 13. Daylight Saving Time officially begins
at 2 am on Sunday, March 14.",1,NULL,NULL,"2009-03-01 00:00:00","2010-03-14 00:00:00",1,"2015-07-07 12:02:40","2013-06-06 21:53:11"
28,"Financial-Management-Group","Financial Management Group",NULL,"Take control of your finances rather than them controlling you.  Click here for more info.","Take control of your finances rather than them controlling you. Chase What Really Matters, a five-week study on financial management, will meet from 11:45 to 1:00 in Satellite-1. It kicks off on Sunday, March 1st. Everything is free. In fact, we will show you how to make $25 just for coming. For additional information, contact Evan at ecrass@faithpromise.org.",1,NULL,NULL,"2009-02-25 00:00:00","2009-03-09 00:00:00",4,"2015-07-07 12:02:40","2013-06-06 21:53:11"
29,"Praise-Team-Auditions","Praise Team Auditions",NULL,"Praise Team auditions will be held Saturday, August 27...","Praise Team auditions will be held Saturday, August 27, from 11:30 am-1:30 pm. These auditions are open to children, students, and adults who are interested in singing in any of the following venues: Weekend Worship Services, Students, fpKids, Celebrate Recovery. To register, please contact JasonS@faithpromise.org.",1,NULL,NULL,"2009-03-05 00:00:00","2011-08-28 00:00:00",4,"2015-07-07 12:02:40","2015-07-07 12:02:40"
31,"Be-a-Part-of-the-Storm","Be a Part of the Storm",NULL,"A new Sacred Storm is just around the corner and you can be a part...","A new Sacred Storm is just around the corner and you can be part of the excitement! The Creative Arts Ministry is looking for people to fill non-speaking, on-stage roles. If you are interested in participating, please sign up at the Information Desk or email worshipinfo@faithpromise.org.",1,NULL,NULL,"2009-03-05 00:00:00","2010-02-25 00:00:00",4,"2015-07-07 12:02:40","2015-07-07 12:02:40"
34,"mEaster","mEaster",NULL,"For kids during each of the performances of Sacred Storm: Vantage Point.","<p>Attention kids!</p>
<p>Join us for mEaster weekend!  During each of the weekend services, while parents attend Sacred Storm: Vantage Point, kids ages birth – 5th grade are invited to their normal Children’s environments for a special weekend service event!  mEaster is a creative interactive experience for our preschool and school age kids to discover what Easter means in their lives.  Don’t miss this outrageous event!</p>

",1,NULL,NULL,"2009-03-17 00:00:00","2009-04-05 14:00:00",2,"2015-07-07 12:02:40","2013-06-06 21:53:11"
35,"Just-Released","Just Released",NULL,"Our Christmas production, Word on the Street, is now available for purchase.","Our Christmas production, Word on the Street, is now available for purchase at the fpResources section of the Information Desk for $10.",1,NULL,NULL,"2009-03-19 00:00:00","2009-04-20 00:00:00",5,"2015-07-07 12:02:40","2013-06-06 21:53:11"
36,"1st-Wednesday","1st Wednesday",NULL,"There will be no 1st Wednesday in July...","There will be no 1st Wednesday service in July. Join us on August 1 at 6:30 pm for an evening of extended worship, the Lord's Supper, and more.",1,NULL,NULL,"2009-03-26 00:00:00","2012-07-05 00:00:00",1,"2015-07-07 12:02:40","2015-07-07 12:02:40"
37,"fp-Merchadise","fp Merchadise",NULL,"Faith Promise merchandise available online.","Faith Promise graphic t-shirts, coffee mugs and mousepads are now available online only. <a href=\"http://www.zazzle.com/faithpromise\" target=\"_blank\">Pick your item, styles, and colors</a>. ",1,NULL,NULL,"2009-03-28 00:00:00","2009-12-26 00:00:00",6,"2015-07-07 12:02:40","2013-06-06 21:53:11"
38,"Video-Tributes","Video Tributes",NULL,"Take a look at the submissions we've received...","We’re asked the congregation of Faith Promise to bring their most creative thoughts to the table and create a  60-second video tribute to your mother.  Take a look at the video submissions here: <a href=\"http://moms.faithpromise.org/\">video entries</a>",1,NULL,NULL,"2009-04-04 00:00:00","2009-05-11 00:00:00",4,"2015-07-07 12:02:40","2013-06-06 21:53:11"
39,"Our-New-Worship-CD","Our New Worship CD",NULL,"Pick up your copy of our live worship CD - \"Top 10 Songs of 2008\" for $12.","Pick up your copy of our live worship CD - \"Top 10 Songs of 2008\" at the Info Desk for $12.",1,NULL,NULL,"2009-04-04 00:00:00","2009-05-20 00:00:00",5,"2015-07-07 12:02:40","2013-06-06 21:53:11"
40,"Sacred-Storm-Webcast","Sacred Storm Webcast",NULL,"Sacred Storm will be broadcast via the web at 3 & 8 pm EST on April 12th.","Sacred Storm will be broadcast <a href=\"http://www.faithpromise.org/icampus\">via the web</a> at 3 & 8 pm EST on April 12th.",1,NULL,NULL,"2009-04-04 00:00:00","2009-04-13 00:00:00",3,"2015-07-07 12:02:40","2013-06-06 21:53:11"
41,"Internet-Campus","Internet Campus",NULL,"Stream the entire service to your computer or phone...","<p>Watch services online each weekend! Saturdays at 6:00 pm and Sundays at 9:00, 10:00, & 11:45 as well as 9:00 pm Eastern Time. The iCampus is a great way to let friends and family experience Faith Promise. It features our entire worship service as well as Lobby Chat and live prayer. 

</p><p>If you would like to be a greeter or prayer volunteer on the iCampus, please contact KyleG@faithpromise.org.</p>",1,NULL,NULL,"2009-04-16 00:00:00","2015-12-31 00:00:00",8,"2015-07-07 12:02:40","2015-07-05 02:43:47"
42,"Incredible-Parenting-Night","Incredible Parenting Night",NULL,"Are you involved with or leading or loving children? ","<p>Are you involved with or leading or loving children?</p>
<p>We want to provide you with INCREDIBLE skills to give you POWER in parenting! Join us on Sunday April 26th from 5pm-7pm for our Incredible Parenting Event! </p>
<p>Tony Rankins, Family Ministry Director of the Tennessee Baptist Convention, will be our guest speaker. Additional break-out sessions will include:</p>

<p>--Parenting with Love and Logic<br />
--Leading Your Child to Christ</p>

<p><a href=\" https://integration.fellowshipone.com/integration/FormBuilder/FormBuilder.aspx?fCode=TWJaqHGHkpOU+CKnn98UBw==&cCode=RtKBDolfiPuZJp8o1+0ARA==\">Register Online</a>.<br />
Or call Pam at 865-251-2590 ext. 1201 or <br />
Cheryl at 865-251-2590 ext. 1103</p>",1,NULL,NULL,"2009-04-20 00:00:00","2009-04-27 00:00:00",3,"2015-07-07 12:02:40","2015-07-07 12:02:40"
43,"Networship-Live","Networship Live",NULL,"Faith Promise is hosting a community-wide worship event on Friday, May 1st at 7 pm in the Worship Center.","<p>Faith Promise is hosting a community-wide worship event on Friday, May 1st at 7 pm in the Worship Center.</p>",1,NULL,NULL,"2009-04-22 00:00:00","2009-05-02 00:00:00",5,"2015-07-07 12:02:40","2013-06-06 21:53:11"
44,"National-Day-of-Prayer","National Day of Prayer",NULL,"Join with others in the community as we pray for our nation Thurs, May 7th, at 7 pm.","	<p>Join with others in the community as we come together to pray for our nation on Thursday, May 7th, at 7 pm.</p>

	<p>Instead of all gathering at the Civic Auditorium, people will meet simultaneously across the city in four strategic geographical locations.</p>

	<p>Area Locations:</p>

	<p><strong>Deep West- Faith Promise Church</strong><br />
10740 Faith Promise Ln.<br />
865-251-2590<br />
Host- Pastor Chris Stephens<br /> 
*** Sign Language Interpretation provided for the Deaf and hard-of-hearing ***</p>

	<p><strong>West- Fellowship Evangelical Free Church</strong><br />
8000 Middlebrook Pk.<br />
865-470-9800<br />
Host- Pastor Sam Polsen &#38; Pastor Rick Dunn</p>

	<p><strong>East - Tabernacle Baptist Church</strong><br />
137 Martin Luther King Jr. Avenue<br />
Hosts - Pastor Christopher R. Battle, Sr. & Pastor Richard S Brown</p>

	<p><strong>Northeast- Berean Bible Church</strong><br />
2329 Prosser Rd.<br />
865-522-2374<br />
Host- Pastor John Stone</p>

	<p><strong>South- Sevier Heights Baptist Church</strong><br />
3232 Alcoa Hwy.<br />
865-577-4222<br />
Host- Pastor Hollie Miller</p>
",1,NULL,NULL,"2009-04-22 00:00:00","2009-05-08 00:00:00",3,"2015-07-07 12:02:40","2013-06-06 21:53:11"
45,"Kidz-Kamp-X-Isle","Kidz Kamp X-Isle",NULL,"Kidz Kamp X-Isle: July 26-29, 2009, for 2nd-5th graders... ","Your 2nd-5th grade child won’t want to miss Kidz Kamp ‘09 (July 26-29 at the Clyde-Austin 4-H camp in Greenville, TN) . There will be messy games, crazy team competitions, worship, Bible study, swimming, late night campfires, and more! Give your child the opportunity to learn how to find God’s Treasure in His Word… to dig it, and live it!

<p><a href=\"https://integration.fellowshipone.com/integration/FormBuilder/FormBuilder.aspx?fCode=hezwcegiHzmdVGC8JEHMog==&cCode=RtKBDolfiPuZJp8o1+0ARA==\" target=\"_blank\">Register Online</a><br />
<a href=\"https://integration.fellowshipone.com/integration/FormBuilder/FormBuilder.aspx?fCode=ex88S+49V5vFzQdjkXZkRQ==&cCode=RtKBDolfiPuZJp8o1+0ARA==\" target=\"_blank\">Leaders Register Here</a></p>
",1,NULL,NULL,"2009-04-23 00:00:00","2009-07-21 00:00:00",4,"2015-07-07 12:02:40","2015-07-07 12:02:40"
46,"Happy-Mothers-Day","Happy Mother's Day",NULL,"Thank you and Happy Mother’s Day to all of our fpMoms...","Thank you and Happy Mother’s Day to all of our fpMoms! You are wonderful, and we appreciate all that you do for your family and Faith Promise.",1,NULL,NULL,"2009-05-07 00:00:00","2010-05-10 00:00:00",3,"2015-07-07 12:02:40","2013-06-06 21:53:11"
47,"Mission-to-South-Africa","Mission to South Africa",NULL,"We are currently forming a mission team to Cape Town, South Africa for September 11-21, 2009.","We are currently forming a mission team to Cape Town, South Africa for September 11-21, 2009. If you would like more information, please join us after any of the weekend services, June 7th at 11:00 in Room 224. For additional details, contact caroline@faithpromise.org.

<p><a href=\"https://integration.fellowshipone.com/integration/FormBuilder/FormBuilder.aspx?fCode=DbwOkb/RijAIQW6vKbx08w==&cCode=RtKBDolfiPuZJp8o1+0ARA==\" target=\"_blank\">Sign up to go to Africa</a><br />
<a href=\"https://integration.fellowshipone.com/integration/FormBuilder/FormBuilder.aspx?fCode=52UtKYlf5G3XTDMWOaBQ+w==&cCode=RtKBDolfiPuZJp8o1+0ARA==\" target=\"_blank\">Donate</a></p>",1,NULL,NULL,"2009-05-07 00:00:00","2009-06-08 00:00:00",6,"2015-07-07 12:02:40","2013-06-06 21:53:11"
48,"The-Bash","The Bash",NULL,"Wednesday May 22nd at 6:30 pm for 6th-12th grade...","Wednesday May 22nd at 6:30 pm for 6th-12th grade<br/>
<p>Celebrate the end of the school year with our Euro Jump, Mechanical Bull, Rock Climbing, Climbing Wall, Wrecking Ball, Inflatable Twister, and BASHING the snot out of old cars.<br/>
This is a FREE event.",1,NULL,NULL,"2012-05-22 00:00:00","2013-05-23 00:00:00",2,"2015-07-07 12:02:40","2015-07-07 12:02:40"
50,"FP-5th-of-July","FP 5th of July",NULL,"Join us for free food, inflatables, & fireworks at Maple Lane Farms...","<p>Join the Faith Promise Blount Campus for our rain or shine 5th of July celebration at Maple Lane Farms in Greenback. There will be free food and drinks along with tons of inflatables and excitement. In the evening, we will have a high-energy outdoor worship service, as well as spectacular fireworks by Pyro Shows. Bring a blanket or chair and prepare for a great night. The fun begins at 5:00 pm.<p>
<p>This free event is open to the public and will replace regular morning services at our Blount Campus.</p>",1,NULL,NULL,"2010-06-01 00:00:00","2015-07-06 00:00:00",6,"2015-07-07 12:02:40","2015-07-05 18:40:17"
52,"Summer-Events","Summer Events",NULL,NULL,"The warm weather is here and summer is fast approaching. The summer is an exciting time in the life of FPC; we have Kidz Kamp and Collide, for our students, and of course, our FP Fourth of July celebration. The summer is also great time to try something new like online giving. FPC makes it easy to give while you are on vacation, just set up an account <a href=\"http://faithpromise.org/give\">by clicking here</a> and relax.",0,NULL,NULL,"2009-06-04 00:00:00","2009-06-16 00:00:00",6,"2015-07-07 12:02:40","2013-06-06 21:53:11"
53,"Kids-Hope","Kid's Hope",NULL,"You could be the one to make a difference in the life of a child...","You could be the one to make a difference in the life of a child. It only takes one hour a week to change a life. Kids Hope USA is now accepting applications for new mentors for the 2011-2012 school year at Beaumont Elementary in downtown Knoxville. Contact SusanT@faithpromise.org for more information.",1,NULL,NULL,"2009-06-11 00:00:00","2011-08-30 00:00:00",4,"2015-07-07 12:02:40","2015-07-07 12:02:40"
54,"Be-An-Overcomer","Be An Overcomer",NULL,"Come and hear Pastor Chris’ inspirational testimony of overcoming adversity...","Do you have something in your life you’d like to overcome? Are you looking at a mountain you would like to climb, but aren’t sure how? Come and hear Pastor Chris’ inspirational testimony of overcoming adversity on Monday, June 29 at 6:30 pm at our Celebrate Recovery service. For information about Pastor Chris, <a href=\"http://drchrisstephens.com\">go here</a> or for details about Celebrate Recovery, <a href=\"http://faithpromise.org/cr\">go here</a>.",1,NULL,NULL,"2009-06-11 00:00:00","2009-06-30 00:00:00",5,"2015-07-07 12:02:40","2013-06-06 21:53:11"
55,"Happy-Fathers-Day","Happy Father's Day",NULL,"Happy Father’s Day to all the fathers at Faith Promise!","If you are a father, thank you and Happy Father’s Day! We appreciate all that you do to lead your family and serve Faith Promise Church.",1,NULL,NULL,"2010-06-18 00:00:00","2010-06-21 00:00:00",2,"2015-07-07 12:02:40","2013-06-06 21:53:11"
57,"Family-Cookout","Family Cookout",NULL,NULL,"A cook-out for families with children in PromiseKids, KidK'nex or Club 45 AND volunteers serving in these ministries. Please bring a side dish or dessert and drinks to share. We will provide the meat. Come hang out with other families, children’s ministry volunteers and children’s ministry staff for an evening of food, fun and swimming. 

<p>July 24th from 6:30-8:30pm at the Cove at Concord Park.</p>",0,NULL,NULL,"2009-07-02 00:00:00","2009-07-25 00:00:00",5,"2015-07-07 12:02:40","2013-06-06 21:53:11"
58,"Young-Adults-Event---Collide","Young Adults Event - Collide",NULL,"A gathering for young adults...","Collide - A Young Adult Gathering<br />
Don't be the next generation, be this generation.<br />
Pellissippi Campus, February 17 at 6:30 pm 

<p>To register, <a href=\"https://integration.fellowshipone.com/integration/FormBuilder/FormBuilder.aspx?fCode=ljrWPjzSVY3ICnPyDh1lJQ==&cCode=RtKBDolfiPuZJp8o1+0ARA==\" target=\"_blank\">go here</a>.</p>",1,NULL,NULL,"2012-06-27 00:00:00","2013-02-18 00:00:00",1,"2015-07-07 12:02:40","2015-07-07 12:02:40"
59,"Men’s-Prayer-Breakfast","Men’s Prayer Breakfast",NULL,"Join us Saturday, Jan 22 in Satellite-1 at 8:30 am for breakfast and challenging discussion.","Guys, bring a friend and join other men for breakfast as Dr. Chris Stephens shares practical advice and challenges us to take the next steps for a life of adventure, significance and purpose.

<p>See you this Saturday, January 22 from 8:30 to 10:00 am.  <a href=\"https://integration.fellowshipone.com/integration/FormBuilder/FormBuilder.aspx?fCode=BxdDK9np63ON37jX8q6RTw==&cCode=RtKBDolfiPuZJp8o1+0ARA==\">Register here</a>.</p>",1,NULL,NULL,"2009-07-09 00:00:00","2011-01-22 14:00:00",4,"2015-07-07 12:02:40","2015-07-07 12:02:40"
60,"ASL-Now-on-the-iCampus","ASL Now on the iCampus",NULL,"Faith Promise has added a new video stream to our iCampus...","Faith Promise has added a new video stream to our Internet Campus.  We now feature American Sign Language (ASL) interpretation as a part of the online interactive experience.

<p><a href=\"http://deafworship.org\">more info</a></p>",1,NULL,NULL,"2009-07-18 00:00:00","2009-11-10 00:00:00",6,"2015-07-07 12:02:40","2013-06-06 21:53:11"
61,"Scrapbooking","Scrapbooking",NULL,"Do you enjoy scrapbooking? Join us Friday, July 31 from 6:00 pm until midnight...","Do you enjoy scrapbooking? Join us Friday, July 31 from 6:00 pm until midnight. Bring a snack to share along with your supplies and crop the night away! We have also started a group for anyone who enjoys scrapbooking and is looking to build community with others. The next Scrapbooking Small Group meeting is July 31 at 10 am. Childcare is provided, but requires an RSVP. Contact Debbie at DebbieM@faithpromise.org to RSVP for either of these events.",1,NULL,NULL,"2009-07-18 00:00:00","2009-08-01 00:00:00",5,"2015-07-07 12:02:40","2013-06-06 21:53:11"
62,"I-Need-You-Now-Drama","\"I Need You Now\" Drama",NULL,"fp Celebrate and the fp Creative Arts Ministries present \"I Need You Now\"...","fp Celebrate and the fp Creative Arts Ministries present \"I Need You Now\" a full length drama based on a true story of a soldier and her fight to live-Monday, May 14, at 6:00 pm in the Pellissippi Campus Worship Center. The last time this drama was presented at Faith Promise Church we had almost 900 in attendance, so be sure to get here early to get your spot.

<p><a href=\"http://fpchur.ch/zt\" target=\"_blank\">Click here for more information</a>.</p>",1,NULL,NULL,"2009-07-22 00:00:00","2012-05-15 00:00:00",3,"2015-07-07 12:02:40","2015-07-07 12:02:40"
63,"Pick-up-a-CD-or-DVD","Pick up a CD or DVD",NULL,"Each week you can pick up last weekend's message on CD or DVD in the Lobby...","In addition to our <a href=\"http://faithpromise.org/media\">online resources</a>, each week you can pick up last weekend's message on CD or DVD in the Lobby.  See the display near the main entrance, across from the Information Desk.",1,NULL,NULL,"2009-07-22 00:00:00","2009-12-22 00:00:00",6,"2015-07-07 12:02:40","2013-06-06 21:53:11"
64,"1st-Wed-&-Prayer-Labyrinth","1st Wed & Prayer Labyrinth",NULL,"Worship and Prayer Labyrinth on August 5 at 6:30 pm.","Bring your Bible and prepare your heart for a Worship and Prayer Labyrinth on August 5 at 6:30 pm. This will be a night where you’ll not only experience, but participate in all areas and forms of worship. Last year this was a very moving time for all who attended, and this year it is sure to be a journey you will not want to miss!",1,NULL,NULL,"2009-07-22 00:00:00","2009-08-06 00:00:00",4,"2015-07-07 12:02:40","2013-06-06 21:53:11"
